index,R01_06_CO201,R01_06_FCI01,R01_06_MVV01,R01_06_TRU01,HTR9_VES01_SI01,HTR9_VES01_TUD01,HTR9_VEN02_Status,HTRK_RAD01_TR02
2025-09-05 11:00:00+00:00,530.9555556,242.28,0,24.23655172,91.84219842,16.775,1,24.8
2025-09-05 12:00:00+00:00,462.2239316,254.7264469,0,23.7,221.2924286,16.76285714,1,24.8
2025-09-05 13:00:00+00:00,453.9067308,243.2583333,0,23.6,137.2164,17.3672,1,24.7
2025-09-05 14:00:00+00:00,447.0,242.6458333,0,23.4,134.9886952,16.81833333,1,24.7
2025-09-05 15:00:00+00:00,488.3857143,0.0,0,23.6,175.4413984,17.8005,1,24.7
2025-09-05 16:00:00+00:00,517.6285714,0.0,0,23.8,66.01861693,18.025,1,24.8
2025-09-05 17:00:00+00:00,548.0,0.0,0,23.9,63.89422571,18.13517949,1,24.8
2025-09-05 18:00:00+00:00,557.5128205,0.0,0,23.86261905,1.622666667,17.62333333,1,24.9
2025-09-05 19:00:00+00:00,564.8238095,0.0,0,23.8,0.0,16.85875,1,25.0
2025-09-05 20:00:00+00:00,552.9111111,0.0,0,24.0,0.0,15.99942857,1,25.0
2025-09-05 21:00:00+00:00,535.76,0.0,0,24.0,0.0,15.3005,1,25.08285714
2025-09-05 22:00:00+00:00,513.2,0.0,0,24.0,0.0,15.0,1,25.2
2025-09-05 23:00:00+00:00,502.9142857,0.0,0,23.8,0.0,14.7,1,25.2
2025-09-06 00:00:00+00:00,492.0,0.0,0,23.8,0.0,14.0975,1,25.2
2025-09-06 01:00:00+00:00,483.0,0.0,0,23.9,0.0,13.7,1,25.2
2025-09-06 02:00:00+00:00,477.3111111,0.0,0,23.7,0.0,13.55333333,1,25.2
2025-09-06 03:00:00+00:00,470.8857143,0.0,0,23.7,0.0,12.98,1,25.1
2025-09-06 04:00:00+00:00,467.2168998,0.0,0,23.7,0.072,12.93314286,1,25.1
2025-09-06 05:00:00+00:00,464.9764706,0.0,0,23.8,13.80620889,12.8,1,25.1
2025-09-06 06:00:00+00:00,459.05,0.0,0,23.8,158.2415,14.2,1,25.0
2025-09-06 07:00:00+00:00,456.0825397,0.0,0,23.7,296.4272727,15.69971429,1,25.0
2025-09-06 08:00:00+00:00,451.3880342,0.0,0,23.7,154.7082222,16.505,1,25.0
2025-09-06 09:00:00+00:00,449.0,0.0,0,23.8,576.0171556,17.138,1,25.0
