,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_MVV01,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_MVV01,R05_07_V_TRU01,HTR9_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-08-03 05:15:00+00:00,418.338053,0,0,23.6,416.1464646,0,0,23.3,24.6,79.38961039,78.67587121,13.62222222,16.69583333
2025-08-03 05:20:00+00:00,418.1621878,0,0,23.6,416.788,0,0,23.3,24.6,80.3572381,84.12306082,14.32358974,16.65916667
2025-08-03 05:25:00+00:00,419.1081232,0,0,23.6,416.2607623,0,0,23.3,24.6,80.98307692,93.42653181,14.76545455,16.64538462
2025-08-03 05:30:00+00:00,419.8714286,0,0,23.6,415.9666667,0,0,23.3,24.6,82.35555556,101.6372222,15.67111111,16.66222222
2025-08-03 05:35:00+00:00,418.4463636,0,0,23.6,415.5925926,0,0,23.3,24.6,83.3125,114.9643184,16.41904762,16.6275
2025-08-03 05:40:00+00:00,418.2361134,0,0,23.6,415,0,0,23.3,24.6,84.18222222,144.2131142,17.01714286,16.67333333
2025-08-03 05:45:00+00:00,417.2153088,0,0,23.68,415.0060606,0,0,23.3,24.6,85.29236364,329.9215681,17.74041958,16.96490909
2025-08-03 05:50:00+00:00,419.8787785,0,0,23.7,415.0801242,0,0,23.30904762,24.6,86.35717949,389.4757243,18.54833333,17.22505495
2025-08-03 05:55:00+00:00,417.9309211,0,0,23.7,415.7265413,0,0,23.4,24.6,87.62488889,170.2860967,19.45244444,17.5
2025-08-03 06:00:00+00:00,418.56,0,0,23.7,415.5805195,0,0,23.4,24.6,88.6,120.6096623,20.12,17.44
2025-08-03 06:05:00+00:00,417.3625,0,0,23.7,415.1680556,0,0,23.4,24.6,89.6902381,109.6199749,20.87626374,17.22602308
2025-08-03 06:10:00+00:00,417.975,0,0,23.7,415.9821429,0,0,23.4,24.6,90.76875,100.4025,21.565,17.11
2025-08-03 06:15:00+00:00,417.9117647,0,0,23.7,415.6593074,0,0,23.4,24.6,91.5175,89.0400362,22.15666667,16.86
2025-08-03 06:20:00+00:00,418.235,0,0,23.7,415,0,0,23.4,24.6,92.73443223,80.47199037,22.98906593,16.67
2025-08-03 06:25:00+00:00,417,0,0,23.7,415.62,0,0,23.4,24.6,93.8128254,87.66079901,23.70190476,16.43584416
2025-08-03 06:30:00+00:00,417.0727273,0,0,23.7,415.9333333,0,0,23.4,24.6,94.76416667,89.5993369,24.30701299,16.27608333
2025-08-03 06:35:00+00:00,416.8602339,0,0,23.7,415.003285,0,0,23.4,24.6,95.6,72.25386975,24.92,16.198
2025-08-03 06:40:00+00:00,417.9695396,0,0,23.7,414.3846154,0,0,23.4,24.6,96.79272727,45.73951852,25.66181818,16.10890909
2025-08-03 06:45:00+00:00,416.8044444,0,0,23.7,415.6007326,0,0,23.4,24.518,98.08572727,28.3674293,26.55842424,15.85238095
2025-08-03 06:50:00+00:00,416.1866667,0,0,23.7,415.1533333,0,0,23.4,24.48833333,99.24916667,26.32226667,27.32,15.775
2025-08-03 06:55:00+00:00,416.6818627,0,0,23.7,415.0518056,0,0,23.4,24.40272569,100.075,30.40234833,27.84272727,15.61657143
2025-08-03 07:00:00+00:00,416.3282051,0,0,23.7,415,0,0,23.4,24.3,101.4571429,39.03250303,28.75742857,15.50697143
2025-08-03 07:05:00+00:00,416.0357143,0,0,23.7,415.0906593,0,0,23.4,24.3,102.525,39.40992674,29.404375,15.458125
2025-08-03 07:10:00+00:00,416.573913,0,0,23.7,415.4959596,0,0,23.4,24.3,103.3986667,39.13407368,29.97388889,15.36472222
2025-08-03 07:15:00+00:00,415.6748485,0,0,23.7,414.1071469,0,0,23.4,24.3,104.5106667,31.6612,30.64666667,15.3
2025-08-03 07:20:00+00:00,416.8133333,0,0,23.7,413.9984583,0,0,23.4,24.3,105.77,28.27936667,31.375,15.3
2025-08-03 07:25:00+00:00,415.7738636,0,0,23.7,413.4727273,0,0,23.4,24.3,106.8533333,29.9514881,32,15.3
2025-08-03 07:30:00+00:00,414.8245455,0,0,23.7,414,0,0,23.4,24.3,107.8133333,36.46753143,32.568,15.3
2025-08-03 07:35:00+00:00,414.0117647,0,0,23.7,414,0,0,23.4,24.3,109.215,60.39358242,33.36111111,15.3
