,HTRK_VEN01_EM01_P,HTRK_VEN01_FCI01
2025-09-24 21:00:00+00:00,0.11,0
2025-09-24 21:05:00+00:00,0.11,0
2025-09-24 21:10:00+00:00,0.11,0
2025-09-24 21:15:00+00:00,0.11,0
2025-09-24 21:20:00+00:00,0.11,0
2025-09-24 21:25:00+00:00,0.11,0
2025-09-24 21:30:00+00:00,0.11,0
2025-09-24 21:35:00+00:00,0.11,0
2025-09-24 21:40:00+00:00,0.11,0
2025-09-24 21:45:00+00:00,0.11,0
2025-09-24 21:50:00+00:00,0.11,0
2025-09-24 21:55:00+00:00,0.11,0
2025-09-24 22:00:00+00:00,0.11,0
2025-09-24 22:05:00+00:00,0.11,0
2025-09-24 22:10:00+00:00,0.11,0
2025-09-24 22:15:00+00:00,0.11,0
2025-09-24 22:20:00+00:00,0.11,0
2025-09-24 22:25:00+00:00,0.11,0
2025-09-24 22:30:00+00:00,0.11,0
2025-09-24 22:35:00+00:00,0.11,0
2025-09-24 22:40:00+00:00,0.11,0
2025-09-24 22:45:00+00:00,0.11,0
2025-09-24 22:50:00+00:00,0.112222488,0
2025-09-24 22:55:00+00:00,0.11,0
2025-09-24 23:00:00+00:00,0.11,0
2025-09-24 23:05:00+00:00,0.11,0
2025-09-24 23:10:00+00:00,0.11,0
2025-09-24 23:15:00+00:00,0.11,0
2025-09-24 23:20:00+00:00,0.11,0
2025-09-24 23:25:00+00:00,0.11,0
2025-09-24 23:30:00+00:00,0.11,0
2025-09-24 23:35:00+00:00,0.11,0
2025-09-24 23:40:00+00:00,0.11,0
2025-09-24 23:45:00+00:00,0.11,0
2025-09-24 23:50:00+00:00,0.11,0
2025-09-24 23:55:00+00:00,0.11,0
2025-09-25 00:00:00+00:00,0.11,0
2025-09-25 00:05:00+00:00,0.11,0
2025-09-25 00:10:00+00:00,0.11,0
2025-09-25 00:15:00+00:00,0.11,0
2025-09-25 00:20:00+00:00,0.11,0
2025-09-25 00:25:00+00:00,0.11,0
2025-09-25 00:30:00+00:00,0.11,0
2025-09-25 00:35:00+00:00,0.11,0
2025-09-25 00:40:00+00:00,0.11,0
2025-09-25 00:45:00+00:00,0.11,0
2025-09-25 00:50:00+00:00,0.11,0
2025-09-25 00:55:00+00:00,0.11,0
2025-09-25 01:00:00+00:00,0.11,0
2025-09-25 01:05:00+00:00,0.11,0
2025-09-25 01:10:00+00:00,0.11,0
2025-09-25 01:15:00+00:00,0.11,0
2025-09-25 01:20:00+00:00,0.11,0
2025-09-25 01:25:00+00:00,0.11,0
2025-09-25 01:30:00+00:00,0.11,0
2025-09-25 01:35:00+00:00,0.11,0
2025-09-25 01:40:00+00:00,0.11,0
2025-09-25 01:45:00+00:00,0.11,0
2025-09-25 01:50:00+00:00,0.11,0
2025-09-25 01:55:00+00:00,0.11,0
2025-09-25 02:00:00+00:00,0.11,0
2025-09-25 02:05:00+00:00,0.11,0
2025-09-25 02:10:00+00:00,0.11,0
2025-09-25 02:15:00+00:00,0.11,0
2025-09-25 02:20:00+00:00,0.11,0
2025-09-25 02:25:00+00:00,0.11,0
2025-09-25 02:30:00+00:00,0.11,0
2025-09-25 02:35:00+00:00,0.11,0
2025-09-25 02:40:00+00:00,0.11,0
2025-09-25 02:45:00+00:00,0.11,0
2025-09-25 02:50:00+00:00,0.11,0
2025-09-25 02:55:00+00:00,0.11,0
2025-09-25 03:00:00+00:00,0.11,0
2025-09-25 03:05:00+00:00,0.283535354,1170.530133
2025-09-25 03:10:00+00:00,2.322665012,5882.227758
2025-09-25 03:15:00+00:00,4.521399039,9370.59
2025-09-25 03:20:00+00:00,4.680730159,9532.577
2025-09-25 03:25:00+00:00,4.582608824,9602
2025-09-25 03:30:00+00:00,4.458385155,9602
2025-09-25 03:35:00+00:00,4.747927273,9447.589333
2025-09-25 03:40:00+00:00,4.762911638,9407.289846
2025-09-25 03:45:00+00:00,4.67989899,9592.196
2025-09-25 03:50:00+00:00,4.649024854,9585.66
2025-09-25 03:55:00+00:00,4.626,9721.458
2025-09-25 04:00:00+00:00,4.8295,9807.726286
2025-09-25 04:05:00+00:00,4.955079546,10068.22844
2025-09-25 04:10:00+00:00,5.089,10463.13667
2025-09-25 04:15:00+00:00,5.281,10798.34944
2025-09-25 04:20:00+00:00,5.266868185,11160.372
2025-09-25 04:25:00+00:00,5.384604555,11384.57958
2025-09-25 04:30:00+00:00,5.450291667,11620.14
2025-09-25 04:35:00+00:00,5.437052381,11739.48767
2025-09-25 04:40:00+00:00,5.521590909,11919.64305
2025-09-25 04:45:00+00:00,5.637170426,12135.158
2025-09-25 04:50:00+00:00,5.6428557,12295.6345
2025-09-25 04:55:00+00:00,5.679324675,12428.84367
2025-09-25 05:00:00+00:00,6.121652778,12449.97
2025-09-25 05:05:00+00:00,6.101027778,12458.73788
2025-09-25 05:10:00+00:00,5.880222222,12478.73136
2025-09-25 05:15:00+00:00,5.955866959,12596.5926
2025-09-25 05:20:00+00:00,5.816669077,12609.33
2025-09-25 05:25:00+00:00,5.73,12609.33
2025-09-25 05:30:00+00:00,5.973647343,12769.60492
2025-09-25 05:35:00+00:00,6.057282297,12952.96
2025-09-25 05:40:00+00:00,6.006424242,12830.43556
2025-09-25 05:45:00+00:00,5.976122518,12874.69143
2025-09-25 05:50:00+00:00,5.92,12940.73
2025-09-25 05:55:00+00:00,6.011561905,13016.8626
2025-09-25 06:00:00+00:00,6.084965517,13127.84741
2025-09-25 06:05:00+00:00,6.113298621,13224.57156
2025-09-25 06:10:00+00:00,6.276434091,13323.815
2025-09-25 06:15:00+00:00,6.238101905,13384.54848
2025-09-25 06:20:00+00:00,6.221205714,13475.34996
2025-09-25 06:25:00+00:00,6.329065657,13719.53292
2025-09-25 06:30:00+00:00,6.77739011,13867.40545
2025-09-25 06:35:00+00:00,6.6383,14043.76192
2025-09-25 06:40:00+00:00,6.812292593,14142.64325
2025-09-25 06:45:00+00:00,6.772932343,14191.71127
