,HTRK_VEN01_COM01_P,HTRK_VEN01_EM01_P
2025-05-24 15:00:00+00:00,0.0,0.03
2025-05-24 15:15:00+00:00,0.0,0.03
2025-05-24 15:30:00+00:00,0.0,0.03
2025-05-24 15:45:00+00:00,0.0,0.03
2025-05-24 16:00:00+00:00,0.0,0.03
2025-05-24 16:15:00+00:00,0.0,0.03
2025-05-24 16:30:00+00:00,0.0,0.03
2025-05-24 16:45:00+00:00,0.0,0.03
2025-05-24 17:00:00+00:00,0.0,0.03
2025-05-24 17:15:00+00:00,0.0,0.03
2025-05-24 17:30:00+00:00,0.0,0.03
2025-05-24 17:45:00+00:00,0.0,0.03
2025-05-24 18:00:00+00:00,0.0,0.0316190476
2025-05-24 18:15:00+00:00,0.0,0.0993333333
2025-05-24 18:30:00+00:00,0.0,0.11
2025-05-24 18:45:00+00:00,0.0,0.11
2025-05-24 19:00:00+00:00,0.0,0.11
2025-05-24 19:15:00+00:00,0.0,0.11
2025-05-24 19:30:00+00:00,0.0,0.11
2025-05-24 19:45:00+00:00,0.0,0.11
2025-05-24 20:00:00+00:00,0.0,0.11
2025-05-24 20:15:00+00:00,0.0,0.11
2025-05-24 20:30:00+00:00,0.0,0.11
2025-05-24 20:45:00+00:00,0.0,0.11
2025-05-24 21:00:00+00:00,0.0,0.11
2025-05-24 21:15:00+00:00,0.0,0.11
2025-05-24 21:30:00+00:00,0.0,0.11
2025-05-24 21:45:00+00:00,0.0,0.11
2025-05-24 22:00:00+00:00,0.0,0.11
2025-05-24 22:15:00+00:00,0.0,0.11
2025-05-24 22:30:00+00:00,0.0,0.11
2025-05-24 22:45:00+00:00,0.0,0.11
2025-05-24 23:00:00+00:00,0.0,0.11
2025-05-24 23:15:00+00:00,0.0,0.1344285714
2025-05-24 23:30:00+00:00,0.0,0.11
2025-05-24 23:45:00+00:00,0.0,0.11
2025-05-25 00:00:00+00:00,0.0,0.11
2025-05-25 00:15:00+00:00,0.0,0.110375
2025-05-25 00:30:00+00:00,0.0,0.11
2025-05-25 00:45:00+00:00,0.0,0.11
2025-05-25 01:00:00+00:00,0.0,0.11
2025-05-25 01:15:00+00:00,0.0,0.11
2025-05-25 01:30:00+00:00,0.0,0.11
2025-05-25 01:45:00+00:00,0.0,0.11
2025-05-25 02:00:00+00:00,0.0,0.11
2025-05-25 02:15:00+00:00,0.0,0.11
2025-05-25 02:30:00+00:00,0.0,0.11
2025-05-25 02:45:00+00:00,0.0,0.11
2025-05-25 03:00:00+00:00,0.0,0.11
2025-05-25 03:15:00+00:00,0.0,0.11
2025-05-25 03:30:00+00:00,0.0,0.11
2025-05-25 03:45:00+00:00,0.0,0.11
2025-05-25 04:00:00+00:00,0.0,0.11
2025-05-25 04:15:00+00:00,0.0,0.11
2025-05-25 04:30:00+00:00,0.0,0.11
2025-05-25 04:45:00+00:00,0.0,0.11
2025-05-25 05:00:00+00:00,0.0,0.11
2025-05-25 05:15:00+00:00,0.0,0.11
2025-05-25 05:30:00+00:00,0.0,0.11
2025-05-25 05:45:00+00:00,0.0,0.11
2025-05-25 06:00:00+00:00,0.0,0.11
2025-05-25 06:15:00+00:00,0.0,0.11
2025-05-25 06:30:00+00:00,0.0,0.11
2025-05-25 06:45:00+00:00,0.0,0.11
2025-05-25 07:00:00+00:00,0.0,0.11
2025-05-25 07:15:00+00:00,0.0,0.11
2025-05-25 07:30:00+00:00,0.0,0.11
2025-05-25 07:45:00+00:00,0.0,0.11
2025-05-25 08:00:00+00:00,0.0,0.11
2025-05-25 08:15:00+00:00,0.0,0.11
2025-05-25 08:30:00+00:00,0.0,0.11
2025-05-25 08:45:00+00:00,0.0,0.11
2025-05-25 09:00:00+00:00,0.0,0.11
2025-05-25 09:15:00+00:00,0.0,0.11
