,R05_07_N_CO201,R05_07_N_FCI01_1,R05_07_N_TRU01,R05_07_V_CO201,R05_07_V_FCI01_1,R05_07_V_TRU01,HTRK_VEN01_TI01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01
2025-04-26 11:00:00+00:00,458.336679,0.0,22.3580078125,460.874411,0.0,22.1720703125,12.1422247025,187.5,705.915,48.25,12.700000000000001
2025-04-26 12:00:00+00:00,459.68863177500003,0.0,22.4755,461.64421177500003,0.0,22.3588541675,12.6051124325,208.416666675,660.86625,45.5,12.975
2025-04-26 13:00:00+00:00,458.708173,0.0,22.7203125,464.168261825,0.0,22.7039533725,13.1469196425,227.0,459.0857143,40.0,12.525
2025-04-26 14:00:00+00:00,459.626563,0.0,22.853489585,464.363576675,0.0,22.947979252499998,13.726131630000001,243.375,308.746309525,33.0,10.925
2025-04-26 15:00:00+00:00,459.80544005,0.0,23.24792129,465.80053935,0.0,23.8686381325,14.3728887625,257.0,368.2473485,25.0,11.1
2025-04-26 16:00:00+00:00,459.331140175,0.0,23.602278025,466.8399885,0.0,24.52112351,14.776041665000001,270.25,224.03898809999998,16.5,10.7
2025-04-26 17:00:00+00:00,460.04646535,0.0,23.71077009,466.61954,0.0,24.3156219325,15.162723215,281.875,76.3394444425,8.0,9.875
2025-04-26 18:00:00+00:00,459.7620448,0.0,23.50125,465.47990555,0.0,23.7412867275,15.106041665,294.5,7.3875,0.0,8.8
2025-04-26 19:00:00+00:00,458.20734045,0.0,23.251979165,464.18087222500003,0.0,23.352916667499997,14.266219065,307.375,0.0,-7.25,8.025
2025-04-26 20:00:00+00:00,457.27212575,0.0,23.0202083325,462.321762725,0.0,23.0383353625,13.1712824075,320.375,0.0,-13.25,7.85
2025-04-26 21:00:00+00:00,456.5742256,0.0,22.7884375,461.227206975,0.0,22.75249575,12.3209887375,334.75,0.0,-17.75,7.6
2025-04-26 22:00:00+00:00,455.11504125,0.0,22.616666667500002,459.102764775,0.0,22.529930555,11.7632302825,350.125,0.0,-20.5,7.4
2025-04-26 23:00:00+00:00,454.0202567,0.0,22.479374999999997,456.55989835,0.0,22.323854167500002,11.3560546875,50.0,0.0,-20.75,7.25
2025-04-27 00:00:00+00:00,452.412490025,0.0,22.381249999999998,454.2484697,0.0,22.159791667500002,10.9963541675,21.125,0.0,-19.0,7.1
2025-04-27 01:00:00+00:00,451.278273575,0.0,22.2551339275,453.040778775,0.0,22.008866292500002,10.6904791675,35.75,0.0,-15.0,6.825
2025-04-27 02:00:00+00:00,448.7649451,0.0,22.15,450.81890145,0.0,21.8935546875,10.4088377975,49.0,0.0,-8.75,6.9
2025-04-27 03:00:00+00:00,447.2663917,0.0,22.0529166675,448.44911605,0.0,21.7971825375,10.122603535,62.25,3.07,-2.0,6.525
2025-04-27 04:00:00+00:00,444.857609475,0.0,22.0,446.326103025,0.0,21.6867404525,9.92572916675,74.0,66.0571969625,6.0,7.0
