Unnamed: 0,R01_07_CO201,R01_07_FCI01,R01_07_TRU01,HTR9_VES01_AZ01,HTR9_VES01_SI01,HTR9_VES01_SV01,HTR9_VES01_TUD01,HTRK_VEN01_TI01,R01_06_TRU01,R01_08_TRU01
2025-08-10 00:00:00+00:00,407.83292225,0.0,25.5113636375,17.69622974,0.0,-17.8078141825,15.815838765,18.3731377525,25.5396800475,25.137430555
2025-08-10 01:00:00+00:00,409.4312686,0.0,25.380167985,32.276492017500004,0.0,-14.1860275375,14.9222287375,17.8326689575,25.4827194125,25.0125030525
2025-08-10 02:00:00+00:00,409.64282337500003,0.0,25.2560714275,45.97775711,0.0,-8.8013844175,14.2388256975,17.3549092975,25.33925394,24.9068207075
2025-08-10 03:00:00+00:00,410.582708475,0.0,25.1512768875,58.8975386275,2.6280430555,-2.026772985,13.943457692500001,16.8835576925,25.2390448725,24.784074075
2025-08-10 04:00:00+00:00,410.9843196,0.0,25.06154321,71.2021491225,51.5347782775,5.638071611,14.31417576,16.504132325,25.12263468,24.7
2025-08-10 05:00:00+00:00,410.331278475,0.0,25.009501185,83.23650186750001,118.7361617925,13.949664760000001,15.211816965,16.19775641,25.1461462825,24.7
2025-08-10 06:00:00+00:00,409.7758482,0.0,25.0,95.56803797,265.043892725,22.4484208125,16.5741422025,16.1678571425,25.15530303,24.7
2025-08-10 07:00:00+00:00,413.473981675,0.0,25.0591666675,109.00738755,294.4637579,30.89623582,17.1980334675,16.3589519225,25.107399805,24.7
2025-08-10 08:00:00+00:00,415.359556325,0.0,25.1,123.992428225,515.756034975,38.532821372499996,18.19586059,16.9691730275,25.2712206175,24.723333332499998
2025-08-10 09:00:00+00:00,415.6719408,0.0,25.1894477725,141.600767025,596.416915675,44.90954866,18.8210989425,17.6226842425,25.312445054999998,24.8104696975
2025-08-10 10:00:00+00:00,415.678369625,0.0,25.2871306475,162.0882962,637.2614624,49.094218255,18.9490110675,18.1418452375,25.394314215,24.9
2025-08-10 11:00:00+00:00,416.243437625,1.28448275875,25.437345682500002,183.929437725,712.81354505,50.1868835975,19.673937035,18.5802976175,25.5280752825,25.0115022675
2025-08-10 12:00:00+00:00,416.9199276,0.0,25.526401515,205.548054625,607.052902575,47.9963565725,20.0724584425,19.22361111,25.667328385,25.13375
2025-08-10 13:00:00+00:00,416.668064425,0.0,25.66373545,224.81930499999999,277.7058896,43.0517326875,19.423518497499998,20.018409390000002,25.7514186525,25.2322172625
2025-08-10 14:00:00+00:00,414.92583205,0.0,25.971833240000002,241.534440525,441.897448325,36.0992518275,19.98232736,20.0253571425,26.1046988025,25.42927067
